Site,14_M,15_F,15_M,16_F,16_M,17_F,17_M,18_F,18_M,19_F,19_M,20_F,20_M,21_F,21_M,22_F,22_M,23_F,23_M,24_F,24_M,25_F,25_M,26_F,26_M,27_F,27_M,28_F,28_M,29_F,29_M,30_F,30_M,31_F,31_M,32_F,32_M,33_F,33_M,34_F,34_M,35_F,35_M,36_F,36_M,37_F,37_M,38_F,38_M,39_F,39_M,40_F,40_M,41_F,41_M,42_F,42_M,43_F,43_M,44_F,44_M,45_F,45_M,46_F,46_M,47_F,47_M,48_F,48_M,49_F,49_M,50_F,50_M,51_F,51_M,52_F,52_M,53_F,53_M,54_F,54_M,55_F,55_M,56_F,56_M,57_F,57_M,58_F,58_M,59_F,59_M,60_F,60_M,61_F,61_M,62_F,62_M,63_F,63_M,64_F,64_M,65_F,65_M,66_F,66_M,67_F,67_M,68_F,68_M,69_F,69_M,70_F,70_M,71_F,71_M,72_F,72_M,73_F,73_M,74_F,74_M,75_F,75_M,76_F,76_M,77_F,77_M,78_F,78_M,79_F,79_M,80_F,80_M,81_F,81_M,82_F,82_M,83_F,83_M,84_F,84_M,85_F,85_M,86_F,86_M,87_F,87_M,88_F,88_M,89_F,89_M,90_F,90_M,91_F,91_M,92_F,92_M,93_F,93_M,94_F,94_M,95_F,95_M,96_F,96_M,97_F,97_M,98_F,99_F,102_F
Croatia_Big_city,0,0,0,0,0,0,0,1,0,3,1,4,1,3,2,3,1,2,2,1,4,1,3,3,0,1,2,1,0,3,3,3,1,3,3,2,1,3,1,3,0,1,2,4,3,1,0,1,3,3,2,3,2,2,3,7,1,2,0,1,2,2,2,2,1,4,4,2,1,5,0,3,1,3,3,3,1,4,2,2,2,4,3,3,3,2,1,3,2,1,3,2,1,4,2,2,3,1,5,5,2,1,4,2,3,2,3,6,1,5,3,4,2,2,3,2,2,2,1,1,2,2,0,2,2,0,1,3,1,1,1,2,0,0,1,1,2,0,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Country_village,0,0,0,1,1,0,0,0,0,0,0,3,1,0,1,1,2,0,0,2,3,2,5,0,3,3,2,2,0,1,4,0,2,3,1,3,3,1,0,2,3,2,0,5,3,4,2,2,1,1,5,3,0,0,4,2,5,3,3,2,1,5,2,3,1,2,4,2,2,1,2,0,1,2,4,0,6,6,4,5,5,4,0,3,8,1,2,5,4,3,4,6,1,3,4,1,2,3,2,2,2,2,2,3,2,3,3,2,3,2,1,1,1,2,1,3,0,0,3,0,2,2,1,0,2,1,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,1,0,0,0,0,0,1,1,3,1,2,2,0,0,1,1,1,2,2,0,0,1,0,4,0,1,1,0,3,1,0,1,2,1,0,3,0,0,1,2,1,0,0,0,0,3,2,1,1,1,2,2,2,1,4,1,3,1,1,2,2,2,0,1,1,1,1,2,1,1,4,1,3,3,2,3,2,1,1,1,2,5,1,1,2,1,3,1,1,2,3,1,1,2,0,1,1,0,3,0,0,2,3,1,0,1,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Town_or_small_city,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,0,2,1,2,2,1,0,3,0,0,2,2,1,1,0,6,1,2,1,2,1,3,2,1,2,2,2,1,1,4,1,0,1,3,1,3,1,4,2,3,0,0,2,0,2,2,2,4,0,2,1,1,0,3,2,0,1,4,2,1,2,3,4,6,2,2,3,3,0,1,2,1,4,0,3,1,3,3,2,0,1,1,2,1,1,3,1,1,0,1,1,1,2,2,1,1,0,3,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Big_city,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,6,0,3,5,2,2,2,6,9,7,6,4,6,5,5,8,3,4,1,3,4,6,6,2,5,1,8,1,4,1,3,3,2,3,8,3,2,3,5,5,3,3,6,3,5,1,3,6,1,1,1,3,3,3,3,2,3,3,2,2,4,3,3,2,3,2,4,4,2,3,4,2,3,2,4,2,4,1,2,4,3,5,6,4,2,1,3,4,5,1,5,2,2,3,2,4,1,7,5,2,1,2,3,3,0,3,0,2,0,4,3,3,3,2,1,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Country_village,0,0,0,0,0,0,0,2,0,1,1,2,1,0,0,0,2,1,1,1,2,8,1,2,3,1,1,0,4,3,3,6,3,1,2,1,5,2,3,6,1,2,0,1,2,4,5,4,4,1,0,1,1,3,1,2,2,2,1,0,4,4,1,4,6,4,3,3,7,0,4,3,1,2,4,1,4,4,6,1,0,2,2,2,5,6,2,4,1,2,3,1,4,2,2,1,2,3,1,1,6,0,2,0,1,2,3,3,7,0,2,1,0,1,4,3,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,4,0,1,1,3,1,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Suburbs_or_outskirts_of_big_city,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,1,0,2,1,0,1,2,2,3,3,0,1,3,3,2,1,2,6,3,0,0,2,3,2,2,1,2,4,3,2,2,5,5,2,4,4,4,1,2,3,3,5,0,0,3,1,5,1,3,1,2,5,4,3,2,1,1,1,2,3,4,1,1,3,5,5,3,6,1,2,1,1,1,4,2,5,5,4,1,3,1,3,2,4,3,3,2,2,3,0,2,2,1,3,3,5,2,1,1,2,0,1,1,0,1,1,2,0,1,3,0,1,0,5,0,0,0,1,0,3,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Town_or_small_city,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,3,0,1,2,1,2,0,1,2,1,2,0,0,0,1,1,0,1,2,2,0,1,1,0,1,1,0,0,2,0,0,0,1,1,2,3,2,1,2,1,3,2,1,2,0,1,0,1,2,0,3,1,1,1,0,1,0,3,2,1,1,2,0,0,3,1,0,1,1,0,1,1,0,2,1,1,1,2,0,1,0,4,1,1,1,2,1,1,0,1,1,2,0,3,2,0,1,1,1,1,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia_Big_city,0,4,0,0,0,2,0,1,1,1,1,2,7,5,4,2,4,6,4,3,9,8,11,11,7,10,6,20,12,10,8,6,12,15,17,8,7,6,10,10,12,7,6,9,13,9,4,13,5,10,16,8,14,12,10,12,5,10,9,10,5,9,10,11,9,7,5,5,6,5,9,7,11,13,7,10,8,8,9,8,7,8,12,8,7,8,5,12,12,10,6,9,10,6,10,5,9,9,8,12,3,10,11,7,6,6,1,15,11,5,6,2,6,6,4,9,4,6,6,5,3,4,2,4,4,2,2,7,2,1,3,2,2,3,2,0,3,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia_Country_village,0,0,0,0,0,0,0,0,0,0,4,1,3,2,0,2,3,3,6,1,5,3,3,2,4,4,5,2,6,8,3,9,4,9,6,5,3,6,9,5,7,9,8,6,7,9,7,7,12,12,5,5,7,6,9,4,9,9,9,8,6,7,4,7,7,8,4,8,11,6,7,8,12,8,7,6,8,11,3,4,13,4,5,9,1,15,4,6,7,9,8,5,8,9,8,8,9,6,8,9,5,6,4,5,8,6,8,5,4,2,6,7,4,5,6,2,4,2,6,4,3,2,2,4,5,4,1,4,3,3,2,5,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
